Player,PTS,Number of Matches,Kills,Assists,KDA,KD,KAS,Knocks,Kills/Knocks,Damage Dealt,AR Damage,DMR Damage,SR Damage,Avg Damage Dealt,Damage Taken,Avg Damage Taken,Damage Taken (Zone),Damage Taken (Enemy),Damage Dealt/Damage Taken,Revives,Died 1st,Died 2nd,Died 3rd,Died 4th,Knocked,Revived,Headshot Kills,Longest Kill (m),Stolen Kills,Lost Kills,Grenades Picked,Grenades Dropped,Grenades Thrown,Grenades Damage,Molotovs Picked,Molotovs Dropped,Molotovs Thrown,Molotovs Damage,Smokes Picked,Smokes Dropped,Smokes Thrown,Flashes Picked,Flashes Dropped,Flashes Thrown,Swimming Distance (km),Walk Distance (km),Ride Distance (km),Time Survived,Avg Time Survived,Heals,Health Recovered,Boosts,Vehicle Destroys
BB_Molodoct,78.57,12,16,12,2.8,1.6,0.6,16,1,3656.5,671.1,2587.3,0,304.7,2260.1,188.3,221,1989.6,1.8,1,1,4,3,2,10,2,4,566.1,3,3,28,2,19,295.3,6,0,2,0,38,2,19,12,0,3,0,13,36.6,16284,1357,22,1216.9,27,2
TWIS_xmpl,61.5,12,11,5,1.3,0.9,0.8,11,1,3950.3,762.3,3072.4,0,329.2,3659.3,304.9,237.7,3380.1,1.2,2,1,3,5,3,14,5,1,583,1,4,32,3,20,115.5,6,0,1,0,49,6,38,29,6,7,0.1,16.1,34.6,18425,1535,51,2409.3,50,2
FOR_KISS,69.45,12,18,9,2.7,1.8,0.7,13,1.4,2644.9,1406.3,850.9,0,220.4,2799.2,233.3,452,2318.4,1.1,3,3,2,2,3,10,2,5,187.4,1,1,48,12,24,387.6,5,1,3,0,67,6,39,35,5,12,0,10.7,71.7,15609,1300,26,1672.1,55,0
PeRo_Aixleft,64.86,12,17,9,2.4,1.5,0.8,18,0.9,2586.3,962.4,1164.5,62.1,215.5,2864.9,238.7,542.3,2142.3,1.2,1,3,2,5,1,12,2,3,205.4,4,5,43,1,24,407.3,6,1,0,0,42,7,14,24,13,2,0,16.6,39.2,15587,1298,38,1744.9,46,4
FLC_Shrimzy,66.36,12,15,8,2.3,1.5,0.7,16,0.9,2935.5,1121.8,1552.1,0,244.6,2199.5,183.3,207,1903.3,1.5,3,2,4,1,3,10,3,5,308.9,2,3,31,2,17,157.5,5,0,3,0,47,5,20,32,7,8,0,11.7,66,14474,1206,25,1169.5,36,1
BB_f1lfirst,68.97,12,17,6,2.1,1.5,0.5,20,0.8,3296.6,482.8,2349.1,0,274.7,2272.6,189.4,20,2241,1.5,1,5,1,2,2,10,2,3,407.9,3,1,46,5,20,74.1,11,2,4,0,47,5,11,24,7,2,0,13.8,33.4,15823,1318,21,1192.9,50,5
BB_ADOUZ1E,62.71,12,12,8,2,1.2,0.8,9,1.3,2871.4,930.3,1854.9,0,239.3,2380.3,198.4,226.4,2125.4,1.4,0,3,3,1,3,10,2,0,324,3,0,44,7,15,66.1,9,0,6,0,45,9,20,20,0,4,0,11.9,34.5,16296,1358,21,1260.3,69,0
GEN_BeaN,46.89,12,8,7,1.3,0.7,0.8,9,0.9,3389.2,1395.7,1812.7,0,282.4,3215.4,267.9,995.6,2203.5,1.5,1,1,4,3,4,9,1,0,232.4,3,0,35,3,14,169.8,3,0,1,0,47,10,25,24,4,3,0,16,49.1,14387,1198,40,2004.3,39,2
NH_16KK,50.08,12,12,8,1.7,1,0.8,9,1.3,2607.5,929.2,1627.5,0,217.3,2428.4,202.4,293.6,2020.6,1.3,0,4,3,0,5,9,2,2,278.7,2,0,37,5,13,50.9,9,0,2,0,40,1,15,18,1,3,0,12.2,42.3,16139,1344,19,1208.4,66,0
BST_Dr4FTk1NG,58.42,12,11,11,2,1,0.6,10,1.1,3142.4,1531.2,1161.6,229.1,261.9,2866.1,238.8,212.8,2578,1.2,7,4,1,1,5,8,2,4,267.5,0,3,35,6,14,221.7,7,0,1,48,59,12,34,30,0,9,0,12.2,39.2,15846,1320,42,1746.1,68,2
TWIS_BatulinS,55.03,12,15,6,1.8,1.3,0.7,15,1,2802.6,671.2,1483.5,193.8,233.6,3546.6,295.5,1159.1,2377.7,1.2,4,6,3,1,2,12,2,1,169.2,1,1,45,5,22,253.8,19,11,3,51,59,11,40,23,4,8,0.1,15.2,37,17393,1449,44,2326.6,54,3
DNF_DIEL,53.55,12,11,12,2.1,1,0.7,11,1,2655.5,607.9,1520.1,0,221.3,2727.9,227.3,487.3,2161.8,1.2,4,0,3,6,2,10,1,1,217.9,2,2,46,4,22,535.6,10,0,1,0,58,7,37,24,4,3,0,12.4,60.6,15787,1315,29,1616.9,42,3
DNF_Salute,54.59,12,13,9,2,1.2,0.8,10,1.3,2358.9,771.1,1373.6,0,196.6,2809.3,234.1,436.4,2340.4,1,1,3,2,3,3,11,3,3,231.5,2,2,66,9,21,111.9,10,7,0,0,63,15,23,24,9,0,0,15.1,56.2,14773,1231,35,1678.9,52,2
TWIS_Perfect1ks,57.01,12,13,5,1.5,1.1,0.6,14,0.9,3101,813.5,2021.9,0,258.4,3186.6,265.5,394.6,2741.7,1.1,2,4,4,3,1,15,4,4,391.7,2,1,47,7,23,265.7,9,3,3,0,52,10,31,28,5,7,0.1,17.2,33.1,18065,1505,36,1946.6,43,2
TKL_Donzz,52.74,12,13,14,2.5,1.2,0.8,10,1.3,2173.8,1247.6,685.2,0,181.1,2961.8,246.8,203.2,2721.6,0.8,5,3,3,3,2,17,8,3,235.4,1,2,37,3,16,241,6,1,0,0,46,3,26,17,3,8,0,13.9,36.5,15734,1311,34,1697.8,66,1
GK_spyrro,46.15,12,11,4,1.3,0.9,0.8,15,0.7,2715.5,963,1458.1,0,226.3,3848.7,320.7,1962.4,1785.1,1.5,0,4,3,2,3,9,0,0,376.2,1,2,37,1,20,191.4,10,3,3,0,52,4,32,18,7,5,0,11.9,46.5,14131,1177,47,2648.7,44,0
NH_Dec12th,46.1,12,9,7,1.3,0.8,0.7,10,0.9,2810,866.5,1773.8,0,234.2,3248.2,270.7,225.2,2843,1,2,1,3,8,0,14,2,2,285.1,2,1,48,11,18,125.6,13,7,2,0,43,6,27,27,5,9,0,17.5,41.3,16998,1416,33,2028.2,56,4
NH_ZiLong1,35.05,12,12,6,1.5,1,0.6,16,0.8,2688,557.1,1676.8,0,224,2172,181,182.2,1974.2,1.4,3,1,4,3,4,8,0,3,169.3,0,2,26,0,16,302.6,4,1,3,66,40,2,18,22,3,7,0,12.4,38.5,16428,1369,16,969.5,33,0
T1_Heather,39.65,12,13,6,1.6,1.1,0.7,13,1,2265,1045.6,700.3,0,188.8,2655.1,221.3,60,2527.8,0.9,6,2,6,1,3,11,2,3,91.2,1,2,35,1,20,366.6,11,2,2,70,44,9,16,36,18,2,0,10.1,39.9,11323,943,33,1433.3,49,0
FUR_guizeraa,51.56,12,16,6,1.8,1.3,0.7,10,1.6,1956.4,646.7,1050.5,0,163,2643.7,220.3,541.8,2084.6,0.9,5,2,1,7,2,11,1,4,315,2,0,32,2,20,179,4,0,1,0,43,2,23,23,1,2,0,13.5,62.1,15519,1293,29,1433.7,35,1
EA_Xizzy,50.05,12,10,5,1.4,0.9,0.7,11,0.9,2504.9,767.7,1470.6,0,208.7,3861.3,321.8,515.4,3338.5,0.8,6,0,1,5,5,12,6,5,224.1,0,1,26,1,13,266.6,9,0,1,0,52,5,37,26,3,2,0,12.1,43.9,15364,1280,44,2675.6,51,0
17_Xbei,43.05,12,15,4,1.7,1.4,0.8,12,1.3,1705.3,450.9,614.6,0,142.1,2652,221,844.6,1768.8,1,1,4,3,1,3,9,1,8,276.7,1,1,38,3,18,195.6,11,2,1,0,51,16,13,40,12,1,0,10.6,23.3,11557,963,33,1542,39,2
