Player,PTS,Number of Matches,Kills,Assists,KDA,KD,KAS,Knocks,Kills/Knocks,Damage Dealt,AR Damage,DMR Damage,SR Damage,Avg Damage Dealt,Damage Taken,Avg Damage Taken,Damage Taken (Zone),Damage Taken (Enemy),Damage Dealt/Damage Taken,Revives,Died 1st,Died 2nd,Died 3rd,Died 4th,Knocked,Revived,Headshot Kills,Longest Kill (m),Stolen Kills,Lost Kills,Grenades Picked,Grenades Dropped,Grenades Thrown,Grenades Damage,Molotovs Picked,Molotovs Dropped,Molotovs Thrown,Molotovs Damage,Smokes Picked,Smokes Dropped,Smokes Thrown,Flashes Picked,Flashes Dropped,Flashes Thrown,Swimming Distance (km),Walk Distance (km),Ride Distance (km),Time Survived,Avg Time Survived,Heals,Health Recovered,Boosts,Vehicle Destroys
FOR_Scappy,50.53,12,11,7,1.6,1,0.4,7,1.6,2353.1,1182.5,747.6,0,196.1,2326.5,193.9,42,2262.6,1,2,3,3,0,5,7,1,4,282.1,2,1,34,0,20,183.8,6,0,1,66,40,4,10,28,1,5,0,11.8,66.5,14869,1239,25,1216.5,34,2
17_Lilghost,30.35,12,8,3,1,0.7,0.8,8,1,1834.7,499.3,435.5,0,152.9,2744,228.7,390.5,2336.3,0.8,2,4,4,3,0,14,3,1,418.8,0,0,37,3,20,182.2,8,0,3,40,55,6,42,27,4,1,0,10.9,18.3,12477,1039,34,1614,37,3
17_xwudd,28.55,12,6,7,1.2,0.5,0.7,8,0.8,2055.1,637.8,1050.5,0,171.3,2397.4,199.8,469.5,1911.7,1.1,0,2,1,4,4,7,0,0,127.2,0,1,33,3,17,41,4,0,0,0,44,2,26,27,2,5,0,9.1,23.6,12659,1054,22,1297.4,46,1
NAVI_Hakatory,32.93,12,8,3,0.9,0.7,0.5,10,0.8,2593.2,381.6,1840.3,0,216.1,3145.2,262.1,998.3,2084.6,1.2,2,2,3,3,4,10,2,3,369.1,1,1,36,4,15,162.3,9,1,3,11.2,40,0,17,16,2,2,0,13.2,21.2,11938,994,47,1922.2,38,0
NAVI_SoseD,27.93,12,9,4,1.1,0.8,0.6,10,0.9,2193.3,836.9,1151.2,0,182.8,3687.7,307.3,2172.6,1470.2,1.5,2,4,1,2,5,8,1,4,375.7,0,1,25,1,9,205.2,4,2,0,0,29,1,15,7,2,1,0,8.3,23.2,11765,980,64,2477.7,26,0
NAVI_staed,40.96,12,13,7,1.7,1.1,0.4,8,1.6,2096.2,768.8,1173.7,0,174.7,4346.7,362.2,2210.3,2085.2,1,2,0,6,3,3,12,3,1,290.3,3,2,35,3,18,131.7,6,2,0,0,37,8,18,26,11,7,0,13,29,13835,1152,71,3116.7,53,2
T1_EEND,35.95,12,8,4,1,0.7,0.6,10,0.8,2294.7,612.6,1358.4,0,191.2,2837.2,236.4,29.2,2790.2,0.8,2,2,4,4,2,14,5,2,168.6,0,1,36,1,6,106,4,0,0,0,60,6,12,17,0,1,0,11.3,56.7,12710,1059,28,1587.2,37,0
GEN_Tosi,30.06,12,7,7,1.2,0.6,0.7,12,0.6,1906.2,477.5,1200.4,0,158.8,3117.4,259.8,646.9,2348.7,0.8,6,1,5,2,4,10,2,2,180.8,0,3,36,5,8,188,8,0,2,0,55,5,28,36,8,0,0,11.7,51.9,14509,1209,41,1897.4,37,1
T1_Type,35.59,12,10,6,1.3,0.8,0.6,11,0.9,1859.2,874.3,338.2,0,154.9,2770.8,230.9,68,2634.2,0.7,4,4,1,2,5,9,3,1,44.2,1,1,28,1,14,281,7,0,3,0,47,10,13,26,1,8,0,11.3,55.1,13263,1105,23,1540.8,39,3
4AM_Longz,35.05,12,9,7,1.5,0.8,0.6,11,0.8,1804.7,735.5,616.9,0,150.4,2567.9,214,306.7,2173.4,0.8,7,2,2,4,3,10,2,0,265.9,1,1,39,6,15,252.4,2,0,0,0,37,5,19,22,6,6,0,8.8,44.5,13664,1138,28,1437.9,41,1
